vendor,product_id,url,name,brand,description,price,currency,rating_value,review_count,images,supplier_id,supplier_name,subject_id,availability
wildberries,110963683,https://www.wildberries.ru/catalog/110963683/detail.aspx?targetUrl=EX,Покрывало Накидка 65х170 SLIM OPERA WINE на кресло,DECOR MAGIC,,743.0,RUB,4.9,206,,648116,DECOR MAGIC,1182,
wildberries,110963668,https://www.wildberries.ru/catalog/110963668/detail.aspx?targetUrl=EX,Покрывало Накидка 65х170 SLIM OPERA BITTER для кресла,DECOR MAGIC,,710.0,RUB,4.8,232,,648116,DECOR MAGIC,1182,
wildberries,327955201,https://www.wildberries.ru/catalog/327955201/detail.aspx?targetUrl=EX,Накидка на кресло и диван букле SLIM BRAVO WASABI,DECOR MAGIC,,732.0,RUB,4.9,42,,648116,DECOR MAGIC,1182,
wildberries,216869483,https://www.wildberries.ru/catalog/216869483/detail.aspx?targetUrl=EX,Накидка на диван букле 65х170 см SLIM BRAVO SNOW,DECOR MAGIC,,732.0,RUB,4.8,151,,648116,DECOR MAGIC,1182,
wildberries,110831286,https://www.wildberries.ru/catalog/110831286/detail.aspx,Чехол накидка на диван и кресло CILIUM 65х170 см,DECOR MAGIC,,693.0,RUB,4.8,154,,648116,DECOR MAGIC,1182,
wildberries,110831278,https://www.wildberries.ru/catalog/110831278/detail.aspx?targetUrl=EX,Накидка на кресло и диван CILIUM 65х170 см,DECOR MAGIC,,677.0,RUB,4.8,247,,648116,DECOR MAGIC,1182,
wildberries,371202089,https://www.wildberries.ru/catalog/371202089/detail.aspx?targetUrl=EX,Покрывало на односпальную кровать UNO CITUS GRAFIT,DECOR MAGIC,,1405.0,RUB,4.9,49,,648116,DECOR MAGIC,1182,
wildberries,216562121,https://www.wildberries.ru/catalog/216562121/detail.aspx?targetUrl=EX,Ковер плюшевый нескользящий LANGORIA STONE 135х200,DECOR MAGIC,,3667.0,RUB,4.9,67,,648116,DECOR MAGIC,7161,
wildberries,216562103,https://www.wildberries.ru/catalog/216562103/detail.aspx?targetUrl=EX,Ковер шегги в комнату пушистый LANGORIA PLUM 135х200,DECOR MAGIC,,3667.0,RUB,4.9,72,,648116,DECOR MAGIC,7161,
wildberries,216264662,https://www.wildberries.ru/catalog/216264662/detail.aspx?targetUrl=EX,Ковер комнатный маленький из вискозы 80х150 ковровая дорожка,DECOR MAGIC,,2601.0,RUB,4.7,40,,648116,DECOR MAGIC,7161,
wildberries,199767092,https://www.wildberries.ru/catalog/199767092/detail.aspx,Коврик на кухню для пола нескользящий OPTIMA MELODY 50х150,DECOR MAGIC,,799.0,RUB,4.9,109,,648116,DECOR MAGIC,7162,
wildberries,166417055,https://www.wildberries.ru/catalog/166417055/detail.aspx?targetUrl=EX,Дорожка на пол без ворса OPTIMA SIRIUS 50х150,DECOR MAGIC,,647.0,RUB,4.9,173,,648116,DECOR MAGIC,7162,
wildberries,111710732,https://www.wildberries.ru/catalog/111710732/detail.aspx?targetUrl=EX,Шторы блэкаут рогожка 170х270 ROUND DENIM в гостиную - 1 шт,DECOR MAGIC,,1254.0,RUB,4.9,60,,648116,DECOR MAGIC,451,
wildberries,400549779,https://www.wildberries.ru/catalog/400549779/detail.aspx?targetUrl=EX,Коврик для ванной быстросохнущий пушистый MILK 50x80 см,DECOR MAGIC,,540.0,RUB,4.7,30,,648116,DECOR MAGIC,1625,
wildberries,438907475,https://www.wildberries.ru/catalog/438907475/detail.aspx,"Покрывало на кровать, на диван 230x250 и две наволочки 50х70",CASSIA,,2502.0,RUB,0.0,0,,250010287,Togas group,1182,
wildberries,488870453,https://www.wildberries.ru/catalog/488870453/detail.aspx?targetUrl=EX,"Покрывало на кровать, на диван 230x250 и две наволочки 50х70",CASSIA,,3052.0,RUB,5.0,2,,250010287,Togas group,1182,
wildberries,438907476,https://www.wildberries.ru/catalog/438907476/detail.aspx?targetUrl=EX,"Покрывало на кровать, на диван 230x250 и две наволочки 50х70",CASSIA,,2874.0,RUB,0.0,0,,250010287,Togas group,1182,
wildberries,438907479,https://www.wildberries.ru/catalog/438907479/detail.aspx?targetUrl=EX,Покрывало на кровать на диван стеганое Евро 240x260 бархат,CASSIA,,3329.0,RUB,5.0,1,,250010287,Togas group,1182,
wildberries,262435410,https://www.wildberries.ru/catalog/262435410/detail.aspx,"Одеяло 2-спальное 172x205 всесезонное,овечья шерсть 400г м2",CASSIA,,3310.0,RUB,4.3,6,,163386,Togas Group,319,
wildberries,262435416,https://www.wildberries.ru/catalog/262435416/detail.aspx?targetUrl=EX,"Одеяло Евро 200x220 всесезонное,верблюжья шерсть 200г м2",CASSIA,,3508.0,RUB,4.9,30,,163386,Togas Group,319,
wildberries,444692910,https://www.wildberries.ru/catalog/444692910/detail.aspx,Одеяло 1.5 спальное 140х205 вискозный шелк 240 г м2,CASSIA,,1672.0,RUB,5.0,2,,1137836,Togas,319,
wildberries,346527406,https://www.wildberries.ru/catalog/346527406/detail.aspx?targetUrl=EX,Одеяло евро 220х240 бамбук всесезонное облегченное 200г м2,CASSIA,,2150.0,RUB,5.0,16,,1137836,Togas,319,
wildberries,150057398,https://www.wildberries.ru/catalog/150057398/detail.aspx,Одеяло евро 200х220 лебяжий пух всесезонное 240г м2,CASSIA,,,RUB,5.0,44,,1137836,Togas,319,
wildberries,236184830,https://www.wildberries.ru/catalog/236184830/detail.aspx,Постельное белье Евро 100% хлопок-сатин,CASSIA,,4663.0,RUB,4.5,2,,163386,Togas Group,197,
wildberries,236184832,https://www.wildberries.ru/catalog/236184832/detail.aspx?targetUrl=EX,Постельное белье Евро 100% хлопок-сатин,CASSIA,,3997.0,RUB,0.0,0,,163386,Togas Group,197,
wildberries,236184833,https://www.wildberries.ru/catalog/236184833/detail.aspx?targetUrl=EX,Постельное белье Евро 100% хлопок-сатин,CASSIA,,3997.0,RUB,0.0,0,,163386,Togas Group,197,
wildberries,237718568,https://www.wildberries.ru/catalog/237718568/detail.aspx,Наволочки 70х70 2шт. комплект хлопок-сатин,CASSIA,,942.0,RUB,5.0,5,,1137836,Togas,605,
wildberries,237718570,https://www.wildberries.ru/catalog/237718570/detail.aspx?targetUrl=EX,Наволочки 70х70 2шт. комплект хлопок-сатин,CASSIA,,921.0,RUB,4.0,3,,1137836,Togas,605,
wildberries,241055703,https://www.wildberries.ru/catalog/241055703/detail.aspx,Комплект наволочек 70х70см 100% хлопок страйп-сатин,CASSIA,,983.0,RUB,5.0,5,,1137836,Togas,605,
wildberries,314309663,https://www.wildberries.ru/catalog/314309663/detail.aspx,Именное полотенце Александр в подарок на день рождения,Dizani,,878.0,RUB,4.9,1113,,683563,Dizani,254,
wildberries,432022326,https://www.wildberries.ru/catalog/432022326/detail.aspx?targetUrl=EX,Именное полотенце Евгений в подарок на день рождения,Dizani,,891.0,RUB,4.9,172,,683563,Dizani,254,
wildberries,432022328,https://www.wildberries.ru/catalog/432022328/detail.aspx?targetUrl=EX,Именное полотенце Николай в подарок на день рождения,Dizani,,891.0,RUB,4.9,160,,683563,Dizani,254,
wildberries,218713780,https://www.wildberries.ru/catalog/218713780/detail.aspx?targetUrl=EX,Подарочное полотенце мужу на день рождения,Dizani,,904.0,RUB,4.8,3002,,683563,Dizani,254,
wildberries,218713779,https://www.wildberries.ru/catalog/218713779/detail.aspx?targetUrl=EX,Подарочное полотенце сыну на день рождения,Dizani,,891.0,RUB,4.9,4241,,683563,Dizani,254,
wildberries,219363646,https://www.wildberries.ru/catalog/219363646/detail.aspx?targetUrl=EX,Подарочное полотенце мужу на день рождения,Dizani,,1087.0,RUB,4.8,1664,,683563,Dizani,254,
wildberries,219162242,https://www.wildberries.ru/catalog/219162242/detail.aspx?targetUrl=EX,Подарочное полотенце папе на день рождения,Dizani,,1017.0,RUB,4.9,907,,683563,Dizani,254,
wildberries,159721043,https://www.wildberries.ru/catalog/159721043/detail.aspx?targetUrl=EX,Именное полотенце Александр в подарок на день рождения,Dizani,,1087.0,RUB,4.9,2759,,683563,Dizani,254,
wildberries,159721050,https://www.wildberries.ru/catalog/159721050/detail.aspx?targetUrl=EX,Именное полотенце Алексей в подарок на день рождения,Dizani,,1087.0,RUB,4.9,1267,,683563,Dizani,254,
